"New Order Confirmation Email Attachments","新規注文確認メール添付ファイル"
"First attachment","最初の添付ファイル"
"Only pdf, doc, docx, odt files format is allowed.","pdf, doc, docx, odt ファイルが利用できます。"
"Second attachment","2番目の添付ファイル"
"Third attachment","3番目の添付ファイル"
